,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,160,0,,0%,0,Fatal,-,-,Main,100%,Outer,
,,,head,,40,0,,0%,0,Fatal,100%,Yes,Main,100%,Outer,
,,,legs (4),,60,0,,0%,0,-,50%,No,Main,100%,Outer,
,,,claws (2),,60,0,,0%,0,-,40%,No,Main,100%,Outer,
,,,wings (2),,20,0,,0%,0,-,30%,No,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,1.0,2.0,70%,,medium,-,-,-,-,,,,
,,,gas,0.5,0.5,100%,,heavy,-,-,-,-,,,,
,,,thermite,0.5,1.0,100%,,massive,15,Yes,Yes,0.85,,,,
,,,stun,2.0,3.0,-,,,,,,,,,,
,,,confusion,0.5,0.5,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SHRIEKER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,80,0,,0%,0,Fatal,-,-,Main,100%,Outer,
,,,limbs,,30,0,,0%,0,-,40%,No,Main,100%,Outer,
,,,head,,20,0,,0%,0,Fatal,100%,Yes,Main,100%,Outer,
,,,wings (2),,20,0,,100%,0,Fatal,30%,Yes,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,1.0,2.0,100%,,medium,-,-,-,-,,,,
,,,gas,0.5,0.5,100%,,heavy,-,-,-,-,,,,
,,,thermite,-,-,100%,,massive,-,-,-,-,,,,
,,,stun,-,-,-,,,,,,,,,,
,,,confusion,0.5,0.5,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,WARRIOR (TIER II) / BILE WARRIOR / ALPHA WARRIOR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,325,0,,20%,1,Fatal,-,-,Main,100%,Outer,
,,,head,,150,200 [65/s],,20%,1,Fatal,100%,No,Main,100%,Outer,
,,,legs (4),,100,0,,0%,1,-,40%,No,Main,100%,None,
,,,claws (2),,100,0,,0%,1,-,40%,No,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,2.1,3.3,80%,,medium,-,-,-,-,,,,
,,,gas,0.5,0.5,100%,,heavy,20,Yes,Yes,0.85,,,,
,,,thermite,0.5,1.0,100%,,massive,25,Yes,Yes,0.85,,,,
,,,stun,2.0,3.0,-,,,,,,,,,,
,,,confusion,0.5,0.5,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,HIVE GUARD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,500,0,,30%,2,Fatal,-,-,Main,100%,Outer,No
,,,face,,250,200 [75/s],,35%,3,Fatal,75%,No,Main,100%,Outer,No
,,,legs (2),,125,0,,0%,1,-,35%,No,Main,100%,None,No
,,,claws (2),,125,0,,0%,3,-,45%,No,Main,100%,Outer,No
,,,?,,125,0,,0%,1,-,45%,No,Main,100%,None,No
,,,?,,100,0,,0%,2,-,25%,Yes,Main,100%,Outer,No
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,2.1,3.3,80%,,medium,-,-,-,-,,,,
,,,gas,0.5,0.5,100%,,heavy,20,Yes,Yes,0.85,,,,
,,,thermite,0.5,1.0,100%,,massive,25,Yes,Yes,0.85,,,,
,,,stun,2.0,3.0,-,,,,,,,,,,
,,,confusion,0.5,0.5,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,NURSING SPEWER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,750,0,,50%,2,Fatal,-,-,Main,100%,Outer,No
,,,head,,300,0,,0%,2,Fatal,100%,Yes,Main,100%,Outer,No
,,,mouth,,250,0,,0%,0,Fatal,100%,Yes,Main,100%,Outer,
,,,butt,,750,0,,100%,0,Fatal,60%,Yes,Part,100%,Outer,
,,,butt plates,,500,0,,80%,2,Fatal,20%,Yes,Part,100%,Outer,
,,,front legs (2),,200,0,,0%,2,-,50%,No,Main,100%,Outer,
,,,back legs (2),,250,0,,30%,2,-,50%,No,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,5.0,6.5,100%,,medium,20,No,No,0.5,,,,
,,,gas,1.0,1.0,100%,,heavy,-,-,-,-,,,,
,,,thermite,0.5,1.0,100%,,massive,30,Yes,Yes,0.5,,,,
,,,stun,8.0,10.0,-,,,,,,,,,,
,,,confusion,1.0,1.0,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,BILE SPEWER (TIER II),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,750,0,,50%,3,Fatal,-,-,Main,100%,Outer,No
,,,head,,300,0,,0%,3,Fatal,100%,Yes,Main,100%,Outer,No
,,,mouth,,250,0,,0%,0,Fatal,100%,Yes,Main,100%,Outer,
,,,butt,,750,0,,100%,0,Fatal,60%,Yes,Part,100%,Outer,
,,,butt plates,,500,0,,80%,3,Fatal,20%,Yes,Part,100%,Outer,
,,,front legs (2),,200,0,,0%,3,-,50%,No,Main,100%,Outer,
,,,back legs (2),,250,0,,30%,2,-,50%,No,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,5.0,6.5,100%,,medium,20,No,No,0.5,,,,
,,,gas,1.0,1.0,100%,,heavy,-,-,-,-,,,,
,,,thermite,0.5,1.0,100%,,massive,30,Yes,Yes,0.5,,,,
,,,stun,8.0,10.0,-,,,,,,,,,,
,,,confusion,1.0,1.0,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,BROOD COMMANDER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,800,0,,60%,2,Fatal,-,-,Main,100%,Outer,No
,,,face,,200,300 [75/s],,60%,2,Fatal,100%,No,Main,100%,Outer,No
,,,legs (4),,170,0,,40%,1,-,60%,No,Main,100%,None,
,,,claws (2),,200,0,,50%,2,-,40%,No,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,10,No,No,0.5,,,,
,,,fire,4.1,5.5,100%,,medium,-,-,-,-,,,,
,,,gas,1.0,1.0,100%,,heavy,25,Yes,Yes,0.85,,,,
,,,thermite,0.5,1.0,100%,,massive,30,Yes,Yes,0.85,,,,
,,,stun,6.0,8.0,-,,,,,,,,,,
,,,confusion,1.0,1.0,-,,,,,,,,,,
,,,acid storm,0.5,0.5,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,ALPHA COMMANDER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,800,0,,70%,2,Fatal,-,-,Main,100%,Outer,No
,,,face,,250,300 [100/s],,70%,2,Fatal,100%,No,Main,100%,Outer,No
,,,legs (4),,200,0,,50%,1,-,60%,No,Main,100%,None,
,,,claws (2),,200,0,,50%,2,-,40%,No,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,10,No,No,0.5,,,,
,,,fire,4.1,5.5,100%,,medium,-,-,-,-,,,,
,,,gas,1.0,1.0,100%,,heavy,25,Yes,Yes,0.85,,,,
,,,thermite,0.5,1.0,100%,,massive,30,Yes,Yes,0.85,,,,
,,,stun,6.0,8.0,-,,,,,,,,,,
,,,confusion,1.0,1.0,-,,,,,,,,,,
,,,acid storm,0.5,0.5,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,STALKER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,800,0,,50%,1,Fatal,-,-,Main,100%,Outer,No
,,,legs (4),,Main,0,,50%,1,-,100%,No,Main,100%,None,
,,,claws (2),,Main,0,,50%,1,-,100%,No,Main,100%,None,
,,,body armor,,Main,0,,50%,2,-,100%,No,Main,100%,None,
,,,head,,175,0,,0%,1,Fatal,100%,Yes,Main,100%,None,
,,,belly,,Main,0,,50%,1,-,100%,No,Main,100%,None,
,,,wings,,125,0,,50%,0,-,30%,Yes,Main,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,3.0,5.0,125%,,medium,-,-,-,-,,,,
,,,gas,1.0,1.0,100%,,heavy,22,No,No,0.5,,,,
,,,thermite,0.5,1.0,100%,,massive,30,Yes,Yes,1,,,,
,,,stun,7.0,9.0,-,,"Stalkers often jump whilst retreating and go into camouflage, thereby regenerating 50 health points second whilst they are concealed.		",,,,,,,,
,,,confusion,1.0,1.0,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,CHARGER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,2400,0,,100%,4,Fatal,-,-,Main,75%,Outer,No
,,,head,,1200,0,,75%,4,Fatal,70%,No,Part,75%,All,
,,,butt,,950,0,,80%,0,Downs,150%,No,Part,75%,All,
,,,rear armor plates,,2200,0,,75%,4,Fatal,75%,No,Main,75%,Outer,
,,,underside,,Main,0,,100%,2,Fatal,100%,No,Main,75%,Outer,
,,,torso armor (2),,800,0,,85%,4,-,100%,No,Part,75%,All,
,,,inner flesh,,Main,0,,30%,1,Fatal,300%,No,Main,75%,Outer,
,,,front legs (2),,800,0,,70%,4,-,60%,No,Part,75%,All,
,,,back legs (2),,800,0,,70%,4,-,50%,No,Part,75%,All,
,,,legs flesh (4),,800,0,,70%,2,Fatal,50%,No,Part,75%,All,
,,,claws (2),,500,0,,70%,4,-,70%,No,Main,75%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,8.5,10.0,150%,,medium,15,No,No,0.5,,,,
,,,gas,3.0,3.0,100%,,heavy,30,No,No,0.5,,,,
,,,thermite,0.5,1.0,100%,,massive,38,Yes,Yes,2,,,,
,,,stun,10.0,15.0,-,,,,,,,,,,
,,,confusion,3.0,3.0,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,SPORE CHARGER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,2400,0,,100%,4,Fatal,-,-,Main,75%,Outer,No
,,,head,,1200,0,,75%,4,Fatal,70%,No,Part,75%,All,
,,,butt,,950,0,,80%,0,Downs,150%,No,Part,75%,All,
,,,rear armor plates,,2200,0,,75%,4,Fatal,75%,No,Main,75%,Outer,
,,,underside,,Main,0,,100%,2,Fatal,100%,No,Main,75%,Outer,
,,,torso armor (2),,800,0,,85%,4,-,100%,No,Part,75%,All,
,,,inner flesh,,Main,0,,30%,1,Fatal,300%,No,Main,75%,Outer,
,,,front legs (2),,800,0,,70%,4,-,60%,No,Part,75%,All,
,,,back legs (2),,800,0,,70%,4,-,50%,No,Part,75%,All,
,,,legs flesh (4),,800,0,,70%,2,Fatal,50%,No,Part,75%,All,
,,,claws (2),,500,0,,70%,4,-,70%,No,Main,75%,Outer,
,,,spores (6),,500,0,,100%,1,-,20%,Yes,Main,75%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,8.5,10.0,150%,,medium,15,No,No,0.5,,,,
,,,gas,3.0,3.0,100%,,heavy,30,No,No,0.5,,,,
,,,thermite,0.5,1.0,100%,,massive,38,Yes,Yes,2,,,,
,,,stun,10.0,15.0,-,,,,,,,,,,
,,,confusion,3.0,3.0,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,CHARGER BEHEMOTH,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,3000,0,,100%,4,Fatal,-,-,Main,75%,Outer,No
,,,head,,1600,0,,100%,4,Fatal,70%,No,Part,75%,All,
,,,butt,,950,0,,100%,0,Downs,50%,No,Part,75%,All,
,,,rear armor plates,,2200,0,,75%,4,Fatal,75%,No,Main,75%,Outer,
,,,underside,,Main,0,,100%,2,Fatal,100%,No,Main,75%,Outer,
,,,torso armor (2),,1000,0,,85%,4,-,100%,No,Part,75%,All,
,,,inner flesh,,Main,0,,30%,1,Fatal,300%,No,Main,75%,Outer,
,,,front legs (2),,1000,0,,80%,4,-,60%,No,Part,75%,All,
,,,back legs (2),,1000,0,,80%,4,-,50%,No,Part,75%,All,
,,,legs flesh (4),,800,0,,70%,2,Fatal,50%,No,Part,75%,All,
,,,claws (2),,500,0,,70%,4,-,70%,No,Main,75%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,8.5,10.0,150%,,medium,15,No,No,0.5,,,,
,,,gas,3.0,3.0,100%,,heavy,30,No,No,0.5,,,,
,,,thermite,0.5,1.0,100%,,massive,38,Yes,Yes,2,,,,
,,,stun,10.0,15.0,-,,,,,,,,,,
,,,confusion,3.0,3.0,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,IMPALER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,4000,0,,100%,4,Fatal,-,-,Main,100%,Outer,No
,,,head,,1250,0,,75%,1,Fatal,150%,No,Part,100%,All,
,,,inner flesh,,Main,0,,90%,0,-,150%,No,Main,100%,Outer,
,,,underside,,Main,0,,100%,2,-,150%,No,Main,100%,Outer,
,,,front legs (2),,1000,0,,70%,4,-,50%,No,Part,100%,All,
,,,back legs (2),,1000,0,,70%,4,-,50%,No,Part,100%,All,
,,,leg flesh (4),,1000,0,,70%,0,Fatal,50%,No,Part,100%,All,
,,,crest armor,,1000,0,,80%,4,-,75%,Yes,Part,100%,All,
,,,rear armor plates,,1000,0,,75%,4,-,75%,Yes,Part,100%,All,
,,,torso armor (2),,1000,0,,75%,4,-,75%,Yes,Part,100%,All,
,,,butt,,1100,0,,85%,3,-,140%,No,Part,100%,All,
,,,tentacles armor (3),,Main,0,,75%,4,-,100%,No,Part,100%,All,
,,,tentacles flesh (3),,500,0,,70%,1,-,50%,No,Part,100%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,8.5,13.0,170%,,medium,20,No,No,0.5,,,,
,,,gas,3.0,3.0,100%,,heavy,30,No,No,0.5,,,,
,,,thermite,0.5,1.0,100%,,massive,45,Yes,Yes,2.5,,,,
,,,stun,-,-,-,,,,,,,,,,
,,,confusion,-,-,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,BILE TITAN,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,6500,0,,100%,4,Fatal,-,-,Main,50%,Outer,No
,,,legs armor (12),,1000,0,,100%,4,-,100%,No,Part,50%,All,
,,,legs flesh (3),,2000,2000 [0/s],,100%,4,Fatal,100%,No,Part,50%,All,
,,,left  front leg flesh,,2000,1500 [0/s],,100%,4,Fatal,100%,No,Part,50%,All,
,,,head,,1500,0,,95%,4,Fatal,100%,No,Part,50%,All,No
,,,torso armor (2),,1500,0,,100%,4,-,100%,No,Part,50%,All,No
,,,tail armor,,3500,0,,100%,4,Fatal,100%,Yes,Part,50%,All,No
,,,claws (2),,1000,0,,0%,4,-,100%,No,Part,50%,All,No
,,,underside flesh,,4000,0,,80%,2,Fatal,60%,No,Part,100%,All,No
,,,inner flesh,,Main,0,,70%,0,-,100%,No,Part,50%,All,No
,,,abdomen sac,,750,0,,100%,0,-,100%,Yes,Part,50%,All,No
,,,tail sac,,750,0,,100%,0,-,100%,Yes,Part,50%,All,No
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,-,-,-,-,,,,
,,,fire,9.0,13.0,170%,,medium,-,-,-,-,,,,
,,,gas,0.5,1.0,100%,,heavy,40,No,No,0.5,,,,
,,,thermite,0.5,1.0,100%,,massive,50,Yes,Yes,2,,,,
,,,stun,-,-,-,,,,,,,,,,
,,,confusion,-,-,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,DRAGONROACH,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,6500,0,,100%,4,Fatal,-,-,Main,50%,Outer,No
,,,head,,1500,0,,95%,4,Fatal,100%,No,Part,50%,All,
,,,claws (2),,1000,0,,0%,4,-,100%,No,Part,50%,All,
,,,torso armor (2),,1500,0,,100%,4,-,100%,No,Part,50%,All,
,,,inner flesh,,Main,0,,70%,0,-,100%,No,Part,50%,All,
,,,tail armor,,3500,0,,100%,4,Fatal,100%,Yes,Part,50%,All,
,,,tail sac,,750,0,,100%,0,-,100%,Yes,Part,50%,All,
,,,tail flesh,,Main,0,,100%,4,Fatal,100%,No,Main,0%,Outer,
,,,abdomen sac,,750,0,,100%,0,-,100%,Yes,Part,50%,All,
,,,abdomen flesh,,3000,0,,80%,4,Fatal,60%,No,Part,100%,All,
,,,legs armor (12),,1000,0,,100%,4,-,100%,No,Part,50%,All,
,,,wings (4),,1500,2500 [0/s],,100%,0,Fatal,30%,No,Part,50%,All,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,1,No,No,0.5,,,,
,,,fire,9.0,13.0,170%,,medium,-,-,-,-,,,,
,,,gas,0.5,1.0,100%,,heavy,38,Yes,No,2,,,,
,,,thermite,0.5,1.0,100%,,massive,-,-,-,-,,,,
,,,stun,-,-,-,,,,,,,,,,
,,,confusion,-,-,-,,,,,,,,,,
,,,acid storm,0.5,1.0,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,HIVE LORD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Zone,,Health,Constitution,,Durable,Armor,OnDeath,%toMain,MainCap,ExTarget,ExMult,ExVerif,
,,,main,,150000,0,,0%,5,Fatal,-,-,Main,75%,Outer,No
,,,jaws,,150000,0,,0%,6,-,50%,Yes,Main,75%,Outer,
,,,mouth,,150000,0,,0%,2,-,100%,Yes,Main,75%,Outer,
,,,mandibles (2),,10000,0,,0%,6,-,50%,Yes,Main,75%,Outer,
,,,crown,,150000,0,,0%,10,-,0%,Yes,Main,75%,Outer,
,,,frontal armor plate (6),,15000,35000 [0/s],,0%,5,-,10%,Yes,Part,75%,Outer,
,,,tail frontal armor plate,,20000,35000 [0/s],,0%,5,-,10%,Yes,Main,75%,Outer,
,,,dorsal armor plate (7),,15000,35000 [0/s],,0%,5,-,10%,Yes,Part,75%,Outer,
,,,inner flesh (6),,150000,0,,0%,2,-,100%,Yes,Main,75%,Outer,
,,,fins (14),,5000,0,,0%,5,-,25%,Yes,Part,50%,Outer,
,,,,,,,,,,,,,,,,
,,,Status,Min,Max,Damage,,ReactEvent,Threshold,Interrupt?,Stagger?,Duration,,,,
,,,electricity,-,-,100%,,light,-,-,-,-,,,,
,,,fire,-,-,100%,,medium,-,-,-,-,,,,
,,,gas,-,-,100%,,heavy,-,-,-,-,,,,
,,,thermite,-,-,-,,massive,-,-,-,-,,,,
,,,stun,-,-,-,,,,,,,,,,
,,,confusion,-,-,-,,,,,,,,,,
,,,acid storm,-,-,-,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
